PRACTICE_ID,WARNING_ID,WARNING_CODE,WARNING_DESCRIPTION,ALLOW_EDIT,RECORD_DELETED,CREATED_BY,LOCATION_ID,RECORD_CONVERTED
1,34359738407,1,Warning: This medicine may make you sleepy,0,0,34359738369,1,0
1,34359738408,2,"Warning: This medicine may make you sleepy. If this happens, do not drive or use tools or machines. Do not drink alcohol",0,0,34359738369,1,0
1,34359738409,3,"Warning: This medicine may make you sleepy. If this happens, do not drive or use tools or machines",0,0,34359738369,1,0
1,34359738410,4,Warning: Do not drink alcohol,0,0,34359738369,1,0
1,34359738411,5,Do not take indigestion remedies 2 hours before or after you take this medicine,0,0,34359738369,1,0
1,34359738412,6,"Do not take indigestion remedies, or medicines containing iron or zinc, 2 hours before or after you take this medicine",0,0,34359738369,1,0
1,34359738413,7,"Do not take milk, indigestion remedies, or medicines containing iron or zinc, 2 hours before or after you take this medicine",0,0,34359738369,1,0
1,34359738414,8,Warning: Do not stop taking this medicine unless your doctor tells you to stop,0,0,34359738369,1,0
1,34359738416,10,Warning: Read the additional information given with this medicine,0,0,34359738369,1,0
1,34359738417,11,Protect your skin from sunlight - even on a bright but cloudy day. Do not use sunbeds,0,0,34359738369,1,0
1,34359738418,12,Do not take anything containing aspirin while taking this medicine,0,0,34359738369,1,0
1,34359738419,13,Dissolve or mix with water before taking,0,0,34359738369,1,0
1,34359738420,14,This medicine may colour your urine. This is harmless,0,0,34359738369,1,0
1,34359738421,15,Caution: flammable. Keep your body away from fire or flames after you have put on the medicine,0,0,34359738369,1,0
1,34359738422,16,Dissolve the tablet under your tongue - do not swallow. Store the tablets in this bottle with the cap tightly closed. Get a new supply 8 weeks after opening.,0,0,34359738369,1,0
1,34359738423,17,Do not take more than . . . in 24 hours,0,0,34359738369,1,0
1,34359738424,18,"Do not take more than . . . in 24 hours. Also, do not take more than . . . in any one week",0,0,34359738369,1,0
1,34359738425,19,"Warning: This medicine makes you sleepy. If you still feel sleepy the next day, do not drive or use tools or machines. Do not drink alcohol",0,0,34359738369,1,0
1,34359738426,20,Take half to one hour before food.,0,0,34359738369,1,0
1,34359738427,21,"Take with or just after food, or a meal",0,0,34359738369,1,0
1,34359738428,22,Take 30 to 60 minutes before food,0,0,34359738369,1,0
